neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous
3836756,(2018 XF2),26.3,0.014606796,0.03266179,Earth,47718.33139,28062303.1,FALSE
3959222,(2019 YA4),23.4,0.055533491,0.124176661,Earth,64780.25972,70645512.62,FALSE
54305651,(2022 SK4),30.35,0.002262325,0.005058712,Earth,36125.65595,8610841.37,FALSE
3306406,(2005 XW4),21.62,0.12605352,0.281864239,Earth,123642.0847,67637414.31,FALSE
3398129,(2007 YF1),18.68,0.488151892,1.091540813,Earth,25800.29524,49518512.83,FALSE
3484839,(2010 AO2),22.42,0.087207729,0.19500241,Earth,76581.27566,64482614.5,FALSE
3743897,(2016 CO246),25.8,0.018388867,0.041118757,Earth,59651.95151,61442686.24,FALSE
3772396,(2017 FE65),20.64,0.197949759,0.442629117,Earth,52574.11365,5728456.122,TRUE
3837881,(2019 AF12),19.55,0.327005439,0.731206391,Earth,57645.41073,69050345.64,FALSE
3843208,(2019 NB5),20.39,0.222103282,0.496638037,Earth,86145.44472,71292728.88,FALSE
54298761,(2022 QE7),21.57,0.128989683,0.2884297,Earth,10511.87729,44139225.39,FALSE
54429638,(2024 EW),25.61,0.020070351,0.04487867,Earth,24669.05054,63894910.71,FALSE
3773658,(2017 FN128),19.08,0.406027058,0.907904103,Earth,113852.3674,51664967.18,TRUE
54341665,(2023 CB4),24.49,0.033616692,0.075169209,Earth,23273.15252,59163919.52,FALSE
2337084,337084 (1998 SE36),19.76,0.296862251,0.663804174,Earth,28277.37884,65616679.15,FALSE
3725977,(2015 PC228),19.64,0.313729225,0.701519874,Earth,91872.62862,67837179.56,FALSE
3728523,(2015 SY),23.41,0.055278338,0.123606121,Earth,79922.22685,35175969.27,FALSE
3769874,(2017 DQ35),22.7,0.076657557,0.171411509,Earth,39767.69283,20374457.65,FALSE
3781311,(2017 QQ35),21.9,0.110803882,0.247765013,Earth,50858.63093,23080614.02,FALSE
3843276,(2019 NW5),23.7,0.048367649,0.108153351,Earth,44675.44807,58164636.67,FALSE
3872621,(2019 SH7),23.29,0.058419115,0.130629113,Earth,25371.49942,39718335.69,FALSE
54123625,(2021 DS1),20.88,0.177237239,0.396314515,Earth,19402.96308,52191472.81,FALSE
2322705,322705 (2000 DK8),19.33,0.361871997,0.809170384,Earth,65003.79339,33306592.79,FALSE
3552665,(2010 WD9),23.76,0.047049496,0.105205872,Earth,18261.35561,5706049.996,FALSE
3604216,(2012 JS11),20.3,0.231502122,0.517654482,Earth,54166.39433,14314537.43,TRUE
3766543,(2017 AT19),19.82,0.288771931,0.645713667,Earth,13251.34601,40792299.9,FALSE
3781236,(2017 QW32),24.2,0.038419789,0.08590926,Earth,26777.46955,25106974.81,FALSE
3835972,(2018 VJ1),24.16,0.039134066,0.087506433,Earth,42149.97326,51022294.09,FALSE
54185140,(2021 PB15),21.92,0.109788026,0.245493489,Earth,16652.8708,11614358.92,FALSE
2002212,2212 Hephaistos (1978 SB),13.51,5.27904029,11.80429295,Earth,152450.6099,68703734.61,FALSE
2446791,446791 (1998 SJ70),18.52,0.52547853,1.175005715,Earth,119535.408,66237374.3,TRUE
3720439,(2015 KN122),20.39,0.222103282,0.496638037,Earth,75738.01959,56935618.16,FALSE
2162385,162385 (2000 BM19),18.61,0.504144434,1.127301225,Earth,54577.60171,70842188.92,FALSE
2164207,164207 (2004 GU9),21.18,0.154367182,0.345175513,Earth,26991.69834,31187418.03,TRUE
3714125,(2015 FK36),20.7,0.192555078,0.430566244,Earth,50744.81828,19794998.32,FALSE
3780786,(2017 QY2),21.24,0.150160248,0.335768522,Earth,48648.84996,71328271.34,FALSE
2144411,144411 (2004 EW9),16.55,1.301832102,2.910985075,Earth,92375.93229,74230834.37,FALSE
3036044,(2000 EY106),19.42,0.347180222,0.776318577,Earth,85466.68161,59165585.67,FALSE
3548884,(2010 TA55),22.07,0.102460148,0.229107855,Earth,27898.51843,61055419.84,FALSE
